,filename,link,id
1702,Traci_Johnson.csv,https://www.twitter.com/Traci_TJJohnson,Traci_TJJohnson
1703,Robert_Lawton.csv,https://www.twitter.com/CongressLawton4,CongressLawton4
1704,Cordie_Williams.csv,https://www.twitter.com/cordie4senate,cordie4senate
1705,Aaron_Godfrey.csv,https://www.twitter.com/GodfreyForOH16,GodfreyForOH16
1706,Eric_Garcia.csv,https://www.twitter.com/EricG1247,EricG1247
1707,Marcus_Furze.csv,https://www.twitter.com/MarcusFurzeCT,MarcusFurzeCT
1708,Margaret_Good.csv,https://www.twitter.com/GoodforFlorida,GoodforFlorida
1709,Eliot_Engel.csv,https://www.twitter.com/teamengel,teamengel
1710,Sean_Meloy.csv,https://www.twitter.com/MeloySM,MeloySM
1711,James_Desira.csv,https://www.twitter.com/DesiraFor,DesiraFor
1712,Mark_Desaulnier.csv,https://www.twitter.com/MarkDeSaulnier,MarkDeSaulnier
1713,Angela_Plowhead.csv,https://www.twitter.com/angelafororegon,angelafororegon
1714,Leon_Benjamin.csv,https://www.twitter.com/Leon4Congress,Leon4Congress
1715,Eric_Bruno.csv,https://www.twitter.com/ericbrunoforpa,ericbrunoforpa
1716,Jan_Carey.csv,https://www.twitter.com/jrcareyncdist11,jrcareyncdist11
1717,Paul_Romero.csv,https://www.twitter.com/PJR4Senate,PJR4Senate
1718,Marc_Friedenberg.csv,https://www.twitter.com/MarcForPA,MarcForPA
1719,Quinn_Nystrom.csv,https://www.twitter.com/QuinnNystrom,QuinnNystrom
1720,Richard_Herman.csv,https://www.twitter.com/RichHermanTX,RichHermanTX
1721,Charles_Gearing.csv,https://www.twitter.com/GearingforTexas,GearingforTexas
1722,Martin_Rosenfeld.csv,https://www.twitter.com/MartinRosenfel3,MartinRosenfel3
1723,Rosemary_Becchi.csv,https://twitter.com/Becchi4Congress,Becchi4Congress
1724,Seth_Moulton.csv,https://www.twitter.com/sethmoulton,sethmoulton
1725,John_Nolan.csv,https://www.twitter.com/GerryNolan13,GerryNolan13
1726,Larry_Rader.csv,https://twitter.com/votelarryrader,votelarryrader
1727,Mark_Judson.csv,https://www.twitter.com/Judson4Congress,Judson4Congress
1728,Cassandra_Miller.csv,https://www.twitter.com/Cassandra_IL11,Cassandra_IL11
1729,Chaim_Deutsch.csv,https://www.twitter.com/ChaimDeutsch,ChaimDeutsch
1730,Josh_Harder.csv,https://www.twitter.com/JoshHarder,JoshHarder
1731,Niki_Conforti.csv,https://www.twitter.com/Niki_Conforti,Niki_Conforti
